Date,Open,High,Low,Close,Adj Close,Volume
21/7/2016,99.830002,101,99.129997,99.43,97.180069,32702000
22/7/2016,99.260002,99.300003,98.309998,98.660004,96.42749,28313700
25/7/2016,98.25,98.839996,96.919998,97.339996,95.137352,40382900
26/7/2016,96.82,97.970001,96.419998,96.669998,94.482521,56239800
27/7/2016,104.269997,104.349998,102.75,102.949997,100.620415,92344800
28/7/2016,102.830002,104.449997,102.82,104.339996,101.978951,39869800
29/7/2016,104.190002,104.550003,103.68,104.209999,101.851898,27733700
1/8/2016,104.410004,106.150002,104.410004,106.050003,103.650261,38167900
2/8/2016,106.050003,106.07,104,104.480003,102.115791,33816600
3/8/2016,104.809998,105.839996,104.769997,105.790001,103.396149,30202600
4/8/2016,105.580002,106,105.279999,105.870003,104.034889,27408700
5/8/2016,106.269997,107.650002,106.18,107.480003,105.616966,40553400
8/8/2016,107.519997,108.370003,107.160004,108.370003,106.491547,28037200
9/8/2016,108.230003,108.940002,108.010002,108.809998,106.92392,26315200
10/8/2016,108.709999,108.900002,107.760002,108,106.12796,24008500
11/8/2016,108.519997,108.93,107.849998,107.93,106.059174,27484500
12/8/2016,107.779999,108.440002,107.779999,108.18,106.30484,18660400
15/8/2016,108.139999,109.540001,108.080002,109.480003,107.582306,25868200
16/8/2016,109.629997,110.230003,109.209999,109.379997,107.484032,33794400
17/8/2016,109.099998,109.370003,108.339996,109.220001,107.32682,25356000
18/8/2016,109.230003,109.599998,109.019997,109.080002,107.189247,21984700
19/8/2016,108.769997,109.690002,108.360001,109.360001,107.464386,25368100
22/8/2016,108.860001,109.099998,107.849998,108.510002,106.62912,25820200
23/8/2016,108.589996,109.32,108.529999,108.849998,106.963219,21257700
24/8/2016,108.57,108.75,107.68,108.029999,106.15744,23675100
25/8/2016,107.389999,107.879997,106.68,107.57,105.705414,25086200
26/8/2016,107.410004,107.949997,106.309998,106.940002,105.086334,27766300
29/8/2016,106.620003,107.440002,106.290001,106.82,104.968414,24970300
